94,Energy Management,Bachelors,"$64,000","$109,200"
94,Structural Engineering (SE),Bachelors,"$64,300","$109,200"
96,Managerial Economics,Bachelors,"$61,500","$109,100"
97,Automotive Engineering,Bachelors,"$60,500","$108,700"
97,Business & Information Technology (IT),Bachelors,"$58,200","$108,700"
97,Japanese Language,Bachelors,"$50,000","$108,700"
100,Japanese Studies,Bachelors,"$49,200","$108,500"
101,Finance & Economics,Bachelors,"$59,800","$108,100"
102,Management Information Systems (MIS),Bachelors,"$61,200","$107,800"
103,Pharmaceutical Sciences (PS),Bachelors,"$50,200","$107,700"
104,Mechanical,Bachelors,"$66,800","$107,600"
105,Applied Physics,Bachelors,"$63,800","$107,500"
105,Information Management,Bachelors,"$61,300","$107,500"
107,Aeronautical Science & Engineering,Bachelors,"$54,300","$107,100"
108,Construction Project Management,Bachelors,"$57,400","$107,000"
108,Packaging Science,Bachelors,"$66,800","$107,000"
110,Industrial Engineering & Management,Bachelors,"$63,200","$106,900"
111,Asian Studies,Bachelors,"$44,000","$106,400"
111,Management Science,Bachelors,"$60,500","$106,400"
113,Accounting & Taxation,Bachelors,"$53,300","$105,700"
114,Manufacturing Engineering,Bachelors,"$65,800","$105,600"
115,Astrophysics,Bachelors,"$64,100","$105,400"
116,Engineering Management,Bachelors,"$65,800","$105,200"
117,Business Economics,Bachelors,"$54,900","$105,100"
117,Information Sciences and Technology,Bachelors,"$60,700","$105,100"
119,Information Systems Management,Bachelors,"$57,600","$104,800"
120,Finance & Investments,Bachelors,"$60,500","$104,400"
121,Environmental Health & Safety Management,Bachelors,"$58,300","$104,200"
121,Rhetoric,Bachelors,"$49,400","$104,200"
121,Strategic Management,Bachelors,"$62,800","$104,200"
124,Robotics & Automation,Bachelors,"$66,500","$104,100"
125,Building Construction (BC),Bachelors,"$63,600","$104,000"
126,Accounting & Computer Systems,Bachelors,"$60,200","$103,800"
126,Construction Science,Bachelors,"$64,000","$103,800"
128,Polymer Science & Engineering,Bachelors,"$69,200","$103,700"
129,Computing,Bachelors,"$59,800","$103,500"
129,Information Security & Assurance,Bachelors,"$60,600","$103,500"
129,Civil Engineering (CE),Bachelors,"$61,700","$103,500"
132,Mathematics,Bachelors,"$59,600","$103,400"
132,Government,Bachelors,"$52,200","$103,400"
134,Biochemistry & Molecular Biology,Bachelors,"$50,500","$103,300"
134,Information Technology Management,Bachelors,"$59,300","$103,300"
136,Finance & Real Estate,Bachelors,"$58,600","$103,200"
137,Construction Engineering,Bachelors,"$64,500","$103,100"
138,Business Logistics & Transportation,Bachelors,"$54,900","$102,900"
138,Construction Management,Bachelors,"$59,700","$102,900"
140,Aeronautical Science,Bachelors,"$55,300","$102,800"
141,Computer Management Information Systems (CMIS),Bachelors,"$54,300","$102,600"
142,Software Applications & Programming,Bachelors,"$56,400","$102,500"
143,Financial Economics,Bachelors,"$60,600","$102,300"
144,Marketing & International Business,Bachelors,"$49,700","$102,200"
145,Informatics,Bachelors,"$66,200","$101,900"
145,Medicine,Bachelors,"$75,500","$101,900"
147,Civil & Environmental Engineering,Bachelors,"$61,800","$101,800"
148,Atmospheric Science,Bachelors,"$47,300","$101,600"
149,Environmental Engineering,Bachelors,"$59,500","$101,300"
150,European Studies,Bachelors,"$45,200","$101,200"
150,Nuclear Engineering Technology (NET),Bachelors,"$78,200","$101,200"
152,Industrial Management,Bachelors,"$55,100","$101,000"
152,Information Systems (IS),Bachelors,"$59,900","$101,000"
154,Sales & Business Marketing,Bachelors,"$52,600","$100,800"
155,Business Computer Information Systems (BCIS),Bachelors,"$60,200","$100,700"
155,Organic Chemistry,Bachelors,"$46,000","$100,700"
157,Business Operations,Bachelors,"$60,500","$100,600"
158,Business Computer Science,Bachelors,"$50,200","$100,500"
159,Business Finance,Bachelors,"$54,600","$100,300"
159,Safety Science,Bachelors,"$58,800","$100,300"
161,Plastics Engineering Technology,Bachelors,"$63,800","$100,200"
162,Business Information Systems,Bachelors,"$61,700","$100,100"
163,International Management,Bachelors,"$49,300","$99,900"
164,Finance,Bachelors,"$56,800","$99,800"
165,Agricultural Economics,Bachelors,"$53,000","$99,700"
166,Economics & Political Science,Bachelors,"$54,200","$99,400"
166,Interactive Media,Bachelors,"$50,200","$99,400"
168,Computer Science & Information Technology,Bachelors,"$63,100","$99,100"
169,Agricultural Engineering (AE),Bachelors,"$60,400","$99,000"
169,Consumer Economics,Bachelors,"$51,200","$99,000"
171,International Business,Bachelors,"$52,100","$98,900"
172,Chinese Language,Bachelors,"$51,200","$98,700"
172,Financial Planning,Bachelors,"$50,400","$98,700"
174,Corporate Finance,Bachelors,"$61,000","$98,500"
175,Architectural Engineering,Bachelors,"$62,400","$98,400"
176,Building Construction Management,Bachelors,"$58,600","$98,000"
177,Engineering Technology (ET),Bachelors,"$55,300","$97,900"
177,Network Engineering,Bachelors,"$57,900","$97,900"
179,Computer Information Systems (CIS),Bachelors,"$56,900","$97,800"
179,International Marketing,Bachelors,"$56,200","$97,800"
179,Psychobiology,Bachelors,"$45,400","$97,800"
182,Electrical Engineering Technology (EET),Bachelors,"$63,100","$97,700"
182,Computer Information Systems,Bachelors,"$55,700","$97,700"
182,Real Estate,Bachelors,"$56,400","$97,700"
182,Molecular Biology,Bachelors,"$50,500","$97,700"
186,Operations Management (OM),Bachelors,"$58,000","$97,300"
187,Cybersecurity,Bachelors,"$63,000","$97,200"
187,Manufacturing,Bachelors,"$54,100","$97,200"
189,Construction Trades,Bachelors,"$56,300","$97,100"
190,International Relations,Bachelors,"$49,900","$96,800"
190,Politics,Bachelors,"$50,600","$96,800"
192,Economics & Management,Bachelors,"$52,700","$96,600"
193,Industrial Hygiene,Bachelors,"$55,800","$96,200"
194,Software Development,Bachelors,"$61,000","$96,000"
194,Telecommunications Management,Bachelors,"$49,800","$96,000"
196,Supply Chain Management,Bachelors,"$59,000","$95,900"
197,Mechanical Engineering Technology (MET),Bachelors,"$61,200","$95,800"
198,Accounting & Auditing,Bachelors,"$55,400","$95,700"
198,Network Security,Bachelors,"$57,500","$95,700"
200,Entrepreneurship & Leadership,Bachelors,"$52,300","$95,600"
200,Geological Engineering,Bachelors,"$59,100","$95,600"
202,Product Design,Bachelors,"$58,600","$95,500"
203,Electronics,Bachelors,"$57,000","$95,400"
203,Food Marketing,Bachelors,"$54,500","$95,400"
203,Safety Management,Bachelors,"$57,400","$95,400"
206,German Studies,Bachelors,"$47,400","$95,300"
206,Industrial & Labor Relations,Bachelors,"$63,800","$95,300"
208,Agricultural Economics & Business,Bachelors,"$51,400","$95,200"
208,Aviation Management,Bachelors,"$48,400","$95,200"
210,Biochemistry (BCH),Bachelors,"$47,500","$95,100"
211,Computer Science (CS) & Business,Bachelors,"$60,800","$95,000"
211,Construction Science & Management,Bachelors,"$61,500","$95,000"
213,Accounting & Finance,Bachelors,"$55,800","$94,900"
213,Comparative Literature,Bachelors,"$44,600","$94,900"
213,International & Comparative Politics,Bachelors,"$46,100","$94,900"
216,East Asian Studies,Bachelors,"$46,900","$94,800"
217,Logistics & Supply Chain Management,Bachelors,"$56,200","$94,400"
217,Russian & Eastern European Studies,Bachelors,"$50,800","$94,400"
219,Occupational Health and Safety,Bachelors,"$57,100","$94,300"
220,Aviation,Bachelors,"$50,000","$94,000"
220,Manufacturing Technology,Bachelors,"$57,100","$94,000"
222,Physical Therapy,Bachelors,"$53,500","$93,900"
222,Labor Relations,Bachelors,"$48,900","$93,900"
224,Government & International Politics (GVIP),Bachelors,"$49,800","$93,800"
224,Information Technology (IT),Bachelors,"$56,100","$93,800"
226,City & Regional Planning,Bachelors,"$49,700","$93,700"
226,Information Science (IS),Bachelors,"$62,600","$93,700"
228,Business & Marketing,Bachelors,"$47,800","$93,600"
229,Agribusiness,Bachelors,"$48,000","$93,400"
229,Management Studies,Bachelors,"$43,500","$93,400"
231,Industrial Design (ID),Bachelors,"$52,100","$93,100"
232,Chemistry,Bachelors,"$49,200","$93,000"
232,Information Technology (IT) & Systems,Bachelors,"$58,600","$93,000"
232,Environmental Health & Safety,Bachelors,"$54,500","$93,000"
235,Electronics Engineering Technology (EET),Bachelors,"$61,600","$92,900"
235,Organizational Behavior,Bachelors,"$54,000","$92,900"
237,Analytical Chemistry,Bachelors,"$54,800","$92,800"
237,Computer Engineering Technology (CET),Bachelors,"$60,100","$92,800"
237,Food Science & Technology,Bachelors,"$50,200","$92,800"
240,Project Management,Bachelors,"$54,100","$92,700"
241,Technical & Scientific Communication,Bachelors,"$48,900","$92,400"
242,Finance & Banking,Bachelors,"$52,600","$92,300"
243,Hotel Administration,Bachelors,"$61,500","$92,100"
243,Mechanical Design,Bachelors,"$57,700","$92,100"
245,Biomedical Sciences,Bachelors,"$41,200","$92,000"
246,International Trade & Business,Bachelors,"$52,300","$91,900"
247,Commerce Economics,Bachelors,"$51,200","$91,800"
248,Latin American Studies,Bachelors,"$44,300","$91,700"
248,Structural Design & Construction Engineering Technology,Bachelors,"$66,500","$91,700"
248,Civil Engineering Technology (CET),Bachelors,"$55,600","$91,700"
251,Government & Politics,Bachelors,"$50,000","$91,500"
252,Aviation Flight Science (AFL),Bachelors,"$49,900","$91,400"
252,Business & Finance,Bachelors,"$52,800","$91,400"
252,Marketing,Bachelors,"$49,200","$91,400"
255,Applied Statistics,Bachelors,"$62,000","$91,300"
255,Biopsychology,Bachelors,"$50,200","$91,300"
255,Industrial Technology (IT),Bachelors,"$57,800","$91,300"
255,Manufacturing Engineering Technology,Bachelors,"$61,500","$91,300"
259,Music Production & Engineering,Bachelors,"$42,100","$91,100"
259,Networks & Telecommunications,Bachelors,"$52,900","$91,100"
261,Chemistry & Environmental Science,Bachelors,"$46,000","$91,000"
261,Microbiology & Immunology,Bachelors,"$51,500","$91,000"
263,Accounts,Bachelors,"$57,000","$90,900"
263,Risk Management,Bachelors,"$59,600","$90,900"
265,Environmental Science & Policy,Bachelors,"$47,300","$90,700"
266,Dairy Science,Bachelors,"$49,500","$90,600"
266,Sales & Marketing,Bachelors,"$48,500","$90,600"
268,Welding Engineering Technology,Bachelors,"$72,000","$90,400"
269,Industrial Psychology,Bachelors,"$47,000","$90,200"
269,Marketing & Management,Bachelors,"$47,200","$90,200"
269,Transportation & Logistics Management,Bachelors,"$52,700","$90,200"
272,Marketing Management,Bachelors,"$48,300","$90,100"
272,Watershed Hydrology & Management,Bachelors,"$45,500","$90,100"
274,Electromechanical Engineering,Bachelors,"$67,100","$90,000"
274,Transportation,Bachelors,"$59,100","$90,000"
276,Advertising Design,Bachelors,"$49,300","$89,700"
276,Management & Finance,Bachelors,"$52,500","$89,700"
276,Risk Management & Insurance,Bachelors,"$56,300","$89,700"
279,Geology,Bachelors,"$48,200","$89,600"
280,Information Assurance,Bachelors,"$55,600","$89,500"
280,Political Science,Bachelors,"$47,900","$89,500"
282,Philosophy,Bachelors,"$48,700","$89,400"
282,Radiation Therapy,Bachelors,"$65,600","$89,400"
284,Cell Biology,Bachelors,"$48,200","$89,300"
284,French Literature,Bachelors,"$44,200","$89,300"
284,Web Design & Development,Bachelors,"$50,600","$89,300"
284,Meteorology,Bachelors,"$44,500","$89,300"
288,Biological Sciences,Bachelors,"$46,200","$89,200"
288,Occupational Therapy (OT),Bachelors,"$55,100","$89,200"
290,Environmental Policy Analysis & Planning,Bachelors,"$47,200","$89,100"
291,Entrepreneurial Studies,Bachelors,"$46,700","$88,900"
291,Financial Accounting,Bachelors,"$53,400","$88,900"
291,Political Science/Public Law,Bachelors,"$43,900","$88,900"
291,Quality Management,Bachelors,"$53,400","$88,900"
295,Aeronautics,Bachelors,"$59,100","$88,800"
295,Applied Computer Science,Bachelors,"$62,900","$88,800"
297,Accounting,Bachelors,"$51,700","$88,700"
297,Broadcasting Technology,Bachelors,"$40,000","$88,700"
297,Food Science,Bachelors,"$49,900","$88,700"
297,Marketing & Communications,Bachelors,"$46,600","$88,700"
301,Urban Planning,Bachelors,"$48,100","$88,500"
301,Manufacturing Management,Bachelors,"$60,400","$88,500"
303,Insurance,Bachelors,"$53,000","$88,400"
304,Business Data Analysis,Bachelors,"$60,400","$88,300"
304,Environmental Design,Bachelors,"$45,400","$88,300"
306,Advertising,Bachelors,"$44,800","$88,200"
306,Cinema Studies,Bachelors,"$45,400","$88,200"
306,Financial Management,Bachelors,"$51,000","$88,200"
309,Advertising & Marketing Communications,Bachelors,"$46,000","$88,100"
309,Operations & Supply Chain Management,Bachelors,"$57,800","$88,100"
311,Computer Information Management,Bachelors,"$46,800","$88,000"
312,Global & International Studies,Bachelors,"$45,900","$87,800"
312,Computing & Information Systems (CIS),Bachelors,"$50,800","$87,800"
312,Architecture,Bachelors,"$48,300","$87,800"
315,Environmental & Natural Resource Economics,Bachelors,"$49,100","$87,600"
316,Labor Studies,Bachelors,"$44,100","$87,500"
317,Aviation Technology,Bachelors,"$52,600","$87,400"
317,Social Ecology,Bachelors,"$46,700","$87,400"
319,Classics,Bachelors,"$45,000","$87,300"
319,Marketing Communication,Bachelors,"$43,600","$87,300"
321,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$51,700","$87,200"
